timestamp,query,top_result_doc,category
2026-08-18T00:46:18.861922,CNIC renew karwane ki fees aur timings kya hain?,nadra_cnic_renewal.txt,NADRA
2026-08-18T00:46:26.305876,Driving license learner permit test pattern,driving_license_new.txt,Driving License
2026-08-18T00:47:04.976370,CNIC renew karwane ki fees aur timings kya hain?,nadra_cnic_renewal.txt,NADRA
2026-08-18T00:47:14.179604,Driving license learner permit test pattern,driving_license_new.txt,Driving License
2026-08-18T01:10:08.802938,CNIC renewal requirements?,nadra_cnic_renewal.txt,NADRA
2026-08-18T01:22:17.697539,CNIC kis age mai banta hai?,nadra_child_registration.txt,NADRA
2026-08-18T01:22:35.239375,at what age?,nadra_child_registration.txt,NADRA
2026-08-18T01:23:00.298590,in which age cnic is made?,nadra_child_registration.txt,NADRA
2026-08-18T01:32:34.271945,Passport application process?,passport_urgent_fee_guide.txt,Passport
2026-08-18T01:34:39.903832,CNIC renewal requirements?,driving_license_renewal.txt,Driving License
2026-08-18T01:35:35.318671,What documents are needed for passport renewal?,passport_renewal.txt,Passport
2026-08-18T01:39:36.710492,CNIC renewal requirements?,driving_license_renewal.txt,Driving License
2026-08-18T01:46:42.060731,CNIC renewal requirements?,driving_license_renewal.txt,Driving License
2026-08-18T01:56:17.285368,Driving license learner permit test rules,driving_license_new.txt,Driving License
2026-08-18T19:02:26.447316,how to apply Family Registration certificate online?,nadra_family_registration.txt,NADRA
2026-08-18T19:02:35.206258,how to apply family registration certificate online?,nadra_family_registration.txt,NADRA
2026-08-18T23:07:16.710942,how to get a driving license?,driving_license_new.txt,Driving License
2026-08-18T23:07:17.310765,CNIC renewal requirements?,driving_license_renewal.txt,Driving License
2026-08-18T23:09:39.988481,how to get a driving license?,driving_license_new.txt,Driving License
2026-08-18T23:13:23.124305,Driving license learner permit test rules,driving_license_new.txt,Driving License
